CMD                             PID
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
zsh                           41528
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
/opt/microsoft/msedge/msedg   42228
cat                           42238
cat                           42239
/opt/microsoft/msedge/msedg   42241
/opt/microsoft/msedge/msedg   42241
/opt/microsoft/msedge/msedg   42241
/opt/microsoft/msedge/msedg   42243
/opt/microsoft/msedge/msedg   42243
/opt/microsoft/msedge/msedg   42249
/opt/microsoft/msedge/msedg   42250
/opt/microsoft/msedge/nacl_   42251
/opt/microsoft/msedge/msedg   42254
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42278
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42279
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42289
/opt/microsoft/msedge/msedg   42289
